processors/jobs,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,
2,200,363,487,779,1077,957,1020,1164,1519,2052,2665,2851,2514,2875,2361,3037,3420,6091,4729,7271,
4,269,474,778,1035,1153,1746,1873,2175,2837,2452,3173,4134,3548,5426,4471,4297,5527,5867,7089,7719,
6,392,622,948,1137,1638,1733,1692,3227,3052,3343,2950,5421,4630,5097,5010,7265,7702,8689,8911,14253,
8,360,878,1110,1838,1924,1984,2794,3176,5087,4367,5816,6755,7678,8100,7065,7172,12105,12659,16424,14367,
10,478,884,1504,2062,2660,2454,3446,3779,5226,4549,6902,9610,7638,12381,8010,12172,9952,14591,14035,24121,
12,740,1194,1853,1952,2168,3126,3061,4572,6638,6268,10085,8338,10535,8595,10453,11318,17870,17269,19592,26838,
14,566,1120,1597,2939,3091,4236,3850,5342,7095,6882,7840,9851,8241,11909,9170,12686,17045,19528,18261,25762,
16,860,1132,2090,3037,3436,4921,5383,5852,7549,6351,9994,7674,15164,10366,11695,17646,18393,21886,23851,28121,
18,873,1568,1648,2369,3440,4033,6360,7034,8009,9499,10101,13524,11940,14296,14068,18970,19890,19203,29906,29040,
20,679,1439,1988,5064,3286,4832,6289,7838,8054,13154,12380,11888,12959,16484,16714,18812,20248,24953,33258,29008,
